2023-07-30 19:15:38,3.20%,69.05°C
2023-07-30 19:15:39,3.30%,68.68°C
2023-07-30 19:15:40,4.90%,68.28°C
2023-07-30 19:15:41,10.80%,68.17°C
2023-07-30 19:15:42,16.40%,68.55°C
2023-07-30 19:15:43,3.20%,70.02°C
2023-07-30 19:15:45,3.20%,69.82°C
2023-07-30 19:15:46,0.80%,69.68°C
2023-07-30 19:15:47,2.40%,69.61°C
2023-07-30 19:15:48,2.50%,69.48°C
2023-07-30 19:15:49,0.00%,69.35°C
2023-07-30 19:15:50,0.00%,69.23°C
2023-07-30 19:15:51,0.00%,69.12°C
2023-07-30 19:15:53,0.80%,68.90°C
2023-07-30 19:15:54,6.30%,68.77°C
2023-07-30 19:15:55,4.80%,68.67°C
2023-07-30 19:15:56,10.30%,68.59°C
2023-07-30 19:15:57,10.60%,72.52°C
2023-07-30 19:15:58,16.00%,75.12°C
2023-07-30 19:16:00,9.80%,79.81°C
2023-07-30 19:16:01,7.20%,79.16°C
2023-07-30 19:16:02,4.20%,78.51°C
2023-07-30 19:16:03,1.70%,77.86°C
2023-07-30 19:16:04,8.10%,77.58°C
2023-07-30 19:16:05,13.50%,77.29°C
2023-07-30 19:16:06,21.00%,77.03°C
2023-07-30 19:16:08,14.40%,77.91°C
2023-07-30 19:16:09,59.10%,79.66°C
2023-07-30 19:16:10,28.30%,81.41°C
2023-07-30 19:16:11,48.40%,81.84°C
2023-07-30 19:16:12,47.60%,81.85°C
2023-07-30 19:16:13,47.10%,84.12°C
2023-07-30 19:16:15,94.40%,87.42°C
2023-07-30 19:16:16,81.70%,88.41 C (fan)°C
2023-07-30 19:16:17,75.00%,89.12 C (fan)°C
2023-07-30 19:16:18,56.60%,89.39 C (fan)°C
2023-07-30 19:16:19,43.00%,93.30 C (fan)°C
2023-07-30 19:16:20,31.90%,96.29 C (fan)°C
2023-07-30 19:16:22,37.40%,97.47 C (fan)°C
2023-07-30 19:16:23,12.30%,96.86 C (fan)°C
2023-07-30 19:16:24,6.40%,96.31 C (fan)°C
2023-07-30 19:16:25,4.90%,95.86 C (fan)°C
2023-07-30 19:16:26,4.80%,95.41 C (fan)°C
2023-07-30 19:16:27,0.00%,94.96 C (fan)°C
2023-07-30 19:16:28,6.60%,94.57 C (fan)°C
2023-07-30 19:16:30,6.70%,93.68 C (fan)°C
2023-07-30 19:16:31,4.70%,93.23 C (fan)°C
2023-07-30 19:16:32,3.30%,92.79 C (fan)°C
2023-07-30 19:16:33,5.00%,92.40 C (fan)°C
2023-07-30 19:16:34,8.30%,92.02 C (fan)°C
2023-07-30 19:16:35,0.00%,91.62 C (fan)°C
2023-07-30 19:16:37,5.70%,90.80 C (fan)°C
2023-07-30 19:16:38,12.70%,90.44 C (fan)°C
2023-07-30 19:16:39,57.90%,90.45 C (fan)°C
2023-07-30 19:16:40,10.30%,90.10 C (fan)°C
2023-07-30 19:16:41,8.10%,89.76 C (fan)°C
2023-07-30 19:16:42,33.60%,89.48 C (fan)°C
2023-07-30 19:16:43,6.30%,89.18 C (fan)°C
2023-07-30 19:16:45,9.40%,88.58 C (fan)°C
2023-07-30 19:16:46,9.10%,88.30 C (fan)°C
2023-07-30 19:16:47,6.50%,88.25 C (fan)°C
2023-07-30 19:16:48,6.60%,87.98°C
2023-07-30 19:16:49,14.60%,87.66°C
2023-07-30 19:16:50,16.00%,87.56°C
2023-07-30 19:16:52,4.10%,87.28°C
2023-07-30 19:16:53,16.00%,86.84°C
2023-07-30 19:16:54,11.20%,86.73°C
2023-07-30 19:16:55,18.20%,86.49°C
2023-07-30 19:16:56,8.80%,86.26°C
2023-07-30 19:16:57,8.90%,86.01°C
2023-07-30 19:16:59,7.40%,85.50°C
2023-07-30 19:17:00,11.50%,85.25°C
2023-07-30 19:17:01,5.10%,85.05°C
2023-07-30 19:17:02,19.40%,84.93°C
2023-07-30 19:17:03,7.40%,84.79°C
2023-07-30 19:17:04,8.70%,84.61°C
2023-07-30 19:17:05,18.30%,84.48°C
2023-07-30 19:17:07,20.80%,84.19°C
2023-07-30 19:17:08,8.40%,84.05°C
2023-07-30 19:17:09,13.30%,83.91°C
2023-07-30 19:17:10,23.10%,84.31°C
2023-07-30 19:17:11,23.80%,84.14°C
2023-07-30 19:17:12,0.00%,85.07°C
2023-07-30 19:17:14,7.50%,84.80°C
2023-07-30 19:17:15,11.40%,84.69°C
2023-07-30 19:17:16,6.80%,84.52°C
2023-07-30 19:17:17,12.10%,84.36°C
2023-07-30 19:17:18,8.90%,84.18°C
2023-07-30 19:17:19,4.80%,84.01°C
2023-07-30 19:17:21,13.20%,83.66°C
2023-07-30 19:17:22,28.80%,83.65°C
2023-07-30 19:17:23,19.80%,83.53°C
2023-07-30 19:17:24,23.40%,83.67°C
2023-07-30 19:17:25,14.60%,83.46°C
2023-07-30 19:17:26,8.40%,83.36°C
2023-07-30 19:17:28,10.40%,83.08°C
2023-07-30 19:17:29,18.60%,82.97°C
2023-07-30 19:17:30,6.30%,82.89°C
2023-07-30 19:17:31,9.50%,82.73°C
2023-07-30 19:17:32,9.30%,82.57°C
2023-07-30 19:17:33,14.70%,82.43°C
2023-07-30 19:17:34,11.30%,82.38°C
2023-07-30 19:17:36,8.90%,82.27°C
2023-07-30 19:17:37,11.10%,82.39°C
2023-07-30 19:17:38,9.30%,82.28°C
2023-07-30 19:17:39,11.60%,82.14°C
2023-07-30 19:17:40,3.30%,82.12°C
2023-07-30 19:17:41,4.20%,81.96°C
2023-07-30 19:17:43,2.40%,81.67°C
2023-07-30 19:17:44,5.70%,81.50°C
2023-07-30 19:17:45,8.10%,81.38°C
2023-07-30 19:17:46,19.00%,81.39°C
2023-07-30 19:17:47,3.20%,81.28°C
2023-07-30 19:17:48,4.10%,81.15°C
2023-07-30 19:17:49,11.80%,81.01°C
